Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
113.0,2.0,2.0,1.0,1.0,6.0,5.0,450000.0,2.0
156.0,2.0,2.0,1.0,1.0,3.0,8.0,280000.0,3.0
110.0,3.0,2.0,1.0,1.0,5.0,14.0,450000.0,2.0
147.0,3.0,2.0,1.0,1.0,0.0,13.0,330000.0,0.0
80.0,2.0,2.0,1.0,1.0,4.0,3.0,220000.0,0.0
192.0,4.0,2.0,1.0,1.0,7.0,7.0,399000.0,3.0
104.0,3.0,2.0,1.0,1.0,6.0,11.0,285000.0,1.0
126.0,3.0,3.0,0.0,1.0,0.0,5.0,602000.0,0.0
289.0,5.0,4.0,1.0,1.0,7.0,6.0,1065000.0,1.0
85.0,2.0,2.0,1.0,1.0,1.0,7.0,365000.0,3.0
110.0,3.0,2.0,1.0,0.0,0.0,4.0,335000.0,2.0
64.0,3.0,2.0,0.0,0.0,3.0,4.0,180000.0,0.0
198.0,7.0,2.0,1.0,1.0,7.0,7.0,422000.0,3.0
160.0,3.0,2.0,1.0,0.0,0.0,9.0,745000.0,1.0
88.0,2.0,2.0,1.0,0.0,0.0,12.0,193000.0,1.0
94.0,2.0,2.0,1.0,0.0,0.0,7.0,159000.0,2.0
165.0,4.0,2.0,1.0,1.0,0.0,9.0,630000.0,3.0
120.0,3.0,2.0,1.0,1.0,7.0,7.0,340000.0,0.0
216.0,5.0,3.0,1.0,0.0,2.0,7.0,500000.0,3.0
101.0,3.0,2.0,1.0,0.0,3.0,10.0,235000.0,3.0
127.0,2.0,2.0,1.0,0.0,3.0,5.0,329000.0,2.0
191.0,4.0,2.0,1.0,1.0,3.0,7.0,580000.0,3.0
161.0,4.0,2.0,1.0,1.0,4.0,4.0,599000.0,3.0
79.0,2.0,2.0,1.0,0.0,7.0,1.0,155900.0,1.0
194.0,3.0,2.0,1.0,1.0,6.0,5.0,869000.0,3.0
129.0,2.0,2.0,1.0,1.0,7.0,5.0,710000.0,1.0
85.0,2.0,2.0,1.0,1.0,7.0,1.0,360000.0,2.0
392.0,8.0,3.0,1.0,1.0,3.0,5.0,1300000.0,2.0
228.0,4.0,3.0,1.0,1.0,6.0,6.0,1400000.0,1.0
129.0,3.0,2.0,1.0,1.0,4.0,5.0,425000.0,3.0
102.0,3.0,2.0,0.0,1.0,0.0,3.0,479400.0,2.0
81.0,3.0,2.0,0.0,0.0,7.0,14.0,150000.0,1.0
72.0,2.0,2.0,1.0,1.0,1.0,7.0,259000.0,2.0
170.0,4.0,3.0,1.0,0.0,6.0,3.0,780000.0,1.0
128.0,4.0,2.0,1.0,1.0,6.0,7.0,360000.0,2.0
128.0,4.0,2.0,1.0,1.0,6.0,7.0,360000.0,2.0
96.0,3.0,2.0,1.0,0.0,4.0,9.0,360000.0,1.0
72.0,2.0,2.0,1.0,1.0,1.0,7.0,259000.0,2.0
153.0,5.0,2.0,1.0,0.0,3.0,9.0,399000.0,0.0
143.0,3.0,2.0,1.0,1.0,5.0,5.0,485130.0,1.0
503.0,6.0,4.0,1.0,1.0,7.0,13.0,650000.0,3.0
240.0,3.0,3.0,1.0,1.0,4.0,7.0,800000.0,2.0
136.0,5.0,2.0,1.0,1.0,3.0,13.0,399000.0,0.0
119.0,2.0,2.0,1.0,1.0,0.0,5.0,500000.0,1.0
136.0,4.0,2.0,1.0,1.0,1.0,5.0,430000.0,0.0
316.0,5.0,5.0,1.0,1.0,0.0,9.0,1800000.0,3.0
196.0,3.0,2.0,1.0,0.0,0.0,9.0,1050000.0,1.0
102.0,3.0,2.0,1.0,1.0,3.0,7.0,380000.0,0.0
